title,web,cite,pdf,abstract
Crowdlayout: Crowdsourced design and evaluation of biological network visualizations,https://dl.acm.org/doi/abs/10.1145/3173574.3173806,11,,
Old habits die hard: A diary study of on-demand video viewing,https://dl.acm.org/doi/abs/10.1145/3170427.3188665,16,https://discovery.ucl.ac.uk/id/eprint/10058079/1/Brumby_Old%20habits%20die%20hard.%20A%20diary%20study%20of%20on-demand%20video%20viewing_AAM.pdf,
What moves players? Visual data exploration of Twitter and gameplay data,https://dl.acm.org/doi/abs/10.1145/3173574.3174134,13,https://dl.acm.org/doi/pdf/10.1145/3173574.3174134,
Counterpoint: exploring mixed-scale gesture interaction for AR applications,https://dl.acm.org/doi/abs/10.1145/3170427.3188513,15,https://research-repository.st-andrews.ac.uk/bitstream/handle/10023/17253/Counterpoint_CHI18_LBW_v3.pdf?sequence=1,
"'Not Too Much, Not Too Little'Wearables For Group Discussions",https://dl.acm.org/doi/abs/10.1145/3170427.3188500,13,,
StammerApp: Designing a Mobile Application to Support Self-Reflection and Goal Setting for People Who Stammer,https://dl.acm.org/doi/abs/10.1145/3173574.3173841,10,https://dl.acm.org/doi/pdf/10.1145/3173574.3173841,
Personalizable and interactive sequence recommender system,https://dl.acm.org/doi/abs/10.1145/3170427.3188506,14,,
Scaling classroom IT skill tutoring: a case study from India,https://dl.acm.org/doi/abs/10.1145/3173574.3174204,11,https://www.researchgate.net/profile/Nimmi-Rangaswamy-3/publication/324663580_Scaling_Classroom_IT_Skill_Tutoring_A_Case_Study_from_India/links/5b616051aca272a2d678dafe/Scaling-Classroom-IT-Skill-Tutoring-A-Case-Study-from-India.pdf,
Supporting knowledge acceleration for programming from a sensemaking perspective,https://par.nsf.gov/biblio/10152063,3,https://par.nsf.gov/servlets/purl/10152063,
Having an Animated Coffee with a Group of Chatbots from the 19th Century,https://dl.acm.org/doi/abs/10.1145/3170427.3186519,14,,
Interaction restraint: enforcing adaptive cognitive tasks to restrain problematic user interaction,https://dl.acm.org/doi/abs/10.1145/3170427.3188613,13,,
Complex mediation in the formation of political opinions,https://dl.acm.org/doi/abs/10.1145/3173574.3174210,11,http://acm.mementodepot.org/pubs/proceedings/acmconferences_3173574/3173574/3173574.3174210/3173574.3174210.pdf,
Admixed portrait: Design to understand facebook portrayals in new parenthood,https://dl.acm.org/doi/abs/10.1145/3173574.3173586,12,https://dl.acm.org/doi/pdf/10.1145/3173574.3173586,
MABLE: Mediating young children's smart media usage with augmented reality,https://dl.acm.org/doi/abs/10.1145/3173574.3173587,10,,
Mathland: Playful mathematical learning in mixed reality,https://dl.acm.org/doi/abs/10.1145/3170427.3186499,13,,
"My Telepresence, My Culture? An Intercultural Investigation of Telepresence Robot Operators' Interpersonal Distance Behaviors",https://dl.acm.org/doi/abs/10.1145/3173574.3173625,10,https://dl.acm.org/doi/pdf/10.1145/3173574.3173625,
Having an animated coffee with a group of chatbots from the19thcentury,https://research.ibm.com/publications/having-an-animated-coffee-with-a-group-of-chatbots-from-thelesssupgreater19thlesssupgreatercentury,0,,
Time-turner: designing for reflection and remembrance of moments in the home,https://dl.acm.org/doi/abs/10.1145/3173574.3173753,10,http://clab.iat.sfu.ca/pubs/Singhal-TimeTurner-CHI2018.pdf,
Gestakey: Touch interaction on individual keycaps,https://dl.acm.org/doi/abs/10.1145/3173574.3174170,11,https://haimoz.github.io/assets/papers/shi2018gestakey.pdf,
The effects of a vibro-kinetic multi-sensory experience in passive seated vehicular movement in a virtual reality context,https://dl.acm.org/doi/abs/10.1145/3170427.3188638,13,,
Emotion regulation in the wild: Introducing WEHAB system architecture,https://dl.acm.org/doi/abs/10.1145/3170427.3188495,14,https://par.nsf.gov/servlets/purl/10092339,
“I Hear You” Understanding Awareness Information Exchange in an Audio-only Workspace,https://dl.acm.org/doi/abs/10.1145/3173574.3174120,10,http://acm.mementodepot.org/pubs/proceedings/acmconferences_3173574/3173574/3173574.3174120/3173574.3174120.pdf,
Storyboard-based empirical modeling of touch interface performance,https://dl.acm.org/doi/abs/10.1145/3173574.3174019,10,https://hal.science/hal-01714825/file/StEM.pdf,
CatAR: a novel stereoscopic augmented reality cataract surgery training system with dexterous instruments tracking technology,https://dl.acm.org/doi/abs/10.1145/3173574.3174039,9,http://acm.mementodepot.org/pubs/proceedings/acmconferences_3173574/3173574/3173574.3174039/3173574.3174039.pdf,
How relevant are incidental power poses for HCI?,https://dl.acm.org/doi/abs/10.1145/3173574.3173588,10,https://hal.sorbonne-universite.fr/hal-01758764/document,
Appropriated or inauthentic care in gig-economy platforms: a psycho-linguistic analysis of Uber and Lyft,https://dl.acm.org/doi/abs/10.1145/3170427.3188657,12,,
Effect of expressive lights on human perception and interpretation of functional robot,https://dl.acm.org/doi/abs/10.1145/3170427.3188547,13,,
Topotext: Context-preserving text data exploration across multiple spatial scales,https://dl.acm.org/doi/abs/10.1145/3173574.3173611,11,https://www.researchgate.net/profile/Niklas-Elmqvist/publication/324660098_TopoText_Context-Preserving_Text_Data_Exploration_Across_Multiple_Spatial_Scales/links/5ae34340aca272fdaf904f06/TopoText-Context-Preserving-Text-Data-Exploration-Across-Multiple-Spatial-Scales.pdf,
